,0
258,487.49
259,557.894
260,485.016
261,815.764
262,477.85
263,486.432
264,705.788
265,705.788
266,486.432
267,486.432
268,565.34
269,486.432
270,707.492
271,705.872
272,559.992
273,486.432
274,477.85
275,557.894
276,929.48
277,559.992
278,487.082
279,705.788
280,815.764
281,585.688
282,707.194
283,487.082
284,485.016
285,565.34
286,477.85
287,487.082
288,705.872
289,714.078
290,705.788
291,479.344
292,484.658
293,478.404
294,559.992
295,486.432
296,578.444
297,578.184
298,707.194
299,586.114
300,480.402
301,479.236
302,557.894
303,705.788
304,565.34
305,559.992
306,585.688
307,559.992
308,487.49
309,480.402
310,557.894
311,485.016
312,707.492
313,714.078
314,586.114
315,485.016
316,586.114
317,586.114
318,586.114
319,480.402
320,487.49
321,578.444
322,578.444
323,585.688
324,707.492
325,480.968
326,559.992
327,488.634
328,586.114
329,487.082
330,714.078
331,486.432
332,705.872
333,707.194
334,479.236
335,585.688
336,565.34
337,815.764
338,586.114
339,707.492
340,815.764
341,705.872
342,487.082
343,479.344
344,479.236
345,479.344
346,578.996
347,705.872
348,578.184
349,714.078
350,705.788
351,478.404
352,578.996
353,487.082
354,586.114
355,578.444
356,477.85
357,578.444
358,477.85
359,705.872
360,479.236
361,705.788
362,586.114
363,707.194
364,929.48
365,707.194
366,479.236
367,486.432
368,487.49
369,488.634
370,705.788
371,585.688
372,488.634
373,714.078
374,714.078
375,714.078
376,578.444
377,586.114
378,486.432
379,487.082
380,705.788
381,707.492
382,478.404
383,714.078
384,578.996
385,815.764
386,559.992
387,707.492
388,707.194
389,484.658
390,815.764
391,557.894
392,707.492
393,578.184
394,929.48
395,585.688
396,578.184
397,485.016
398,705.788
399,484.658
400,585.688
401,486.432
402,559.992
403,585.688
404,585.688
405,479.344
406,714.078
407,714.078
408,707.194
409,479.344
410,707.492
411,578.444
412,586.114
413,565.34
414,578.444
415,480.968
416,705.788
417,565.34
418,714.078
419,487.082
420,578.444
421,714.078
422,705.788
423,486.432
424,479.236
425,714.078
426,707.194
427,484.658
428,484.658
429,487.082
430,557.894
431,485.016
432,578.996
433,707.492
434,484.658
435,479.344
436,586.114
437,477.85
438,477.85
439,578.184
440,477.85
441,557.894
442,929.48
443,480.402
444,578.444
445,484.658
446,815.764
447,578.996
448,480.402
449,578.184
450,484.658
451,585.688
452,714.078
453,705.872
454,578.444
455,480.968
456,586.114
457,705.872
458,707.194
459,484.658
460,815.764
461,478.404
462,486.432
463,479.344
464,585.688
465,487.49
466,559.992
467,565.34
468,477.85
469,480.968
470,705.872
471,479.344
472,478.404
473,578.184
474,484.658
475,565.34
476,714.078
477,565.34
478,480.402
479,578.444
480,485.016
481,578.444
482,478.404
483,488.634
484,707.194
485,557.894
486,585.688
487,578.444
488,557.894
489,578.184
490,480.968
491,714.078
492,705.872
493,479.344
494,486.432
495,477.85
496,586.114
497,707.492
498,705.788
499,578.996
